Cities,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
Ushuaia,-54.81,-68.31,75,AR,1572720653,50,284.15,8.7
Zhangzhou,24.51,117.65,17,CN,1572720932,77,293.15,2.0
East London,-33.02,27.91,38,ZA,1572720932,63,291.15,2.1
Margate,-43.03,147.26,76,AU,1572720932,87,282.15,3.6
Vaini,15.34,74.49,74,IN,1572720932,95,292.08,1.15
Puerto Ayora,-0.74,-90.35,40,EC,1572720933,61,299.15,9.3
Bluff,-23.58,149.07,26,AU,1572720933,96,291.8,5.03
Tete,-16.16,33.59,14,MZ,1572720933,37,301.17,2.35
Rikitea,-23.12,-134.97,33,PF,1572720933,79,294.77,6.6
Severo-Kurilsk,50.68,156.12,60,RU,1572720933,91,273.84,3.53
Chuy,-33.69,-53.46,100,UY,1572720933,96,294.95,3.43
Waipawa,-39.94,176.59,0,NZ,1572720933,84,287.04,0.89
Qaqortoq,60.72,-46.03,20,GL,1572720933,64,274.15,1.0
Cape Town,-33.93,18.42,75,ZA,1572720787,77,292.59,5.7
Irbeyskoye,55.64,95.45,100,RU,1572720933,74,273.64,3.63
Pihani,27.62,80.2,0,IN,1572720933,46,297.83,0.93
Vao,59.1,26.19,100,EE,1572720933,96,275.32,6.01
Clarence Town,-32.59,151.78,15,AU,1572720933,77,292.04,1.5
Vila Franca do Campo,37.72,-25.43,40,PT,1572720933,72,292.15,3.1
Port Elizabeth,39.31,-74.98,1,US,1572720933,40,287.04,2.2
Carnarvon,-30.97,22.13,0,ZA,1572720844,14,294.39,8.26
Busselton,-33.64,115.35,72,AU,1572720933,69,284.26,2.76
Albany,42.65,-73.75,40,US,1572720933,45,283.15,3.1
Hobart,-42.88,147.33,76,AU,1572720934,87,282.15,3.6
Atuona,-9.8,-139.03,98,PF,1572720934,73,299.22,6.98
Mataura,-46.19,168.86,0,NZ,1572720934,68,283.76,2.95
Emba,34.81,32.42,20,CY,1572720934,77,292.15,3.1
Thompson,55.74,-97.86,90,CA,1572720934,79,270.15,4.1
Teya,21.05,-89.07,75,MX,1572720934,62,304.26,2.1
Butaritari,3.07,172.79,88,KI,1572720934,78,301.57,8.34
Dikson,73.51,80.55,29,RU,1572720934,82,254.11,1.65
Hermanus,-34.42,19.24,22,ZA,1572720934,72,292.04,3.13
Nelson Bay,-32.72,152.14,15,AU,1572720934,77,292.04,1.5
Palu,-0.9,119.87,65,ID,1572720934,97,292.05,1.17
Malacacheta,-17.84,-42.08,49,BR,1572720934,68,299.63,4.38
Chokurdakh,70.62,147.9,100,RU,1572720934,96,256.93,2.98
Arica,-18.48,-70.32,34,CL,1572720934,56,295.15,5.7
Georgetown,6.8,-58.16,20,GY,1572720935,70,304.15,5.1
Chapais,49.78,-74.86,90,CA,1572720935,74,272.15,5.1
Sumenep,-7.02,113.87,61,ID,1572720935,76,300.17,3.78
Mackenzie,55.34,-123.09,90,CA,1572720935,86,278.15,3.1
Port Alfred,-33.59,26.89,80,ZA,1572720935,85,291.48,1.34
Yar-Sale,66.83,70.83,99,RU,1572720935,87,259.17,3.16
Naco,31.32,-109.94,75,MX,1572720935,14,295.93,3.6
Singaraja,-8.11,115.08,1,ID,1572720935,71,300.51,2.76
Trat,12.25,102.51,86,TH,1572720935,74,300.37,0.45
